2018-05-06 10:40:39.067719: {'loss': 1.0518692, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13400}
2018-05-06 10:40:39.438238: {'loss': 1.050343, 'avg': 1.45, 'accuracy': 0.43, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13500}
2018-05-06 10:40:39.809134: {'loss': 1.0505652, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13600}
2018-05-06 10:40:40.193548: {'loss': 1.0498357, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13700}
2018-05-06 10:40:40.558352: {'loss': 1.0510095, 'avg': 1.45, 'accuracy': 0.46, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13800}
2018-05-06 10:40:40.930097: {'loss': 1.0493927, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 13900}
2018-05-06 10:40:41.299999: {'loss': 1.0519828, 'avg': 1.43, 'accuracy': 0.46, 'spare': 0.31999999999999995, 'var': -1, 'steps': 14000}
2018-05-06 10:40:41.663251: {'loss': 1.0489273, 'avg': 1.45, 'accuracy': 0.42, 'spare': 0.32999999999999996, 'var': -1, 'steps': 14100}
2018-05-06 10:40:42.022762: {'loss': 1.0487152, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 14200}
2018-05-06 10:40:42.388309: {'loss': 1.0502272, 'avg': 1.45, 'accuracy': 0.46, 'spare': 0.32999999999999996, 'var': -1, 'steps': 14300}
2018-05-06 10:40:42.842208: {'loss': 1.0501504, 'avg': 1.45, 'accuracy': 0.46, 'spare': 0.32999999999999996, 'var': -1, 'steps': 14400}
2018-05-06 10:40:43.281592: {'loss': 1.0510648, 'avg': 1.44, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 14500}
2018-05-06 10:40:43.664300: {'loss': 1.0480365, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 14600}
2018-05-06 10:40:44.041090: {'loss': 1.0478784, 'avg': 1.41, 'accuracy': 0.45, 'spare': 0.30999999999999994, 'var': -1, 'steps': 14700}
2018-05-06 10:40:44.434441: {'loss': 1.0477272, 'avg': 1.41, 'accuracy': 0.45, 'spare': 0.30999999999999994, 'var': -1, 'steps': 14800}
2018-05-06 10:40:44.822280: {'loss': 1.0486982, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 14900}
2018-05-06 10:40:45.209857: {'loss': 1.0474348, 'avg': 1.41, 'accuracy': 0.45, 'spare': 0.29999999999999993, 'var': -1, 'steps': 15000}
2018-05-06 10:40:45.587612: {'loss': 1.0486901, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 15100}
2018-05-06 10:40:45.973252: {'loss': 1.049322, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 15200}
2018-05-06 10:40:46.425604: {'loss': 1.0493417, 'avg': 1.44, 'accuracy': 0.43, 'spare': 0.31999999999999995, 'var': -1, 'steps': 15300}
2018-05-06 10:40:46.969437: {'loss': 1.047722, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.30999999999999994, 'var': -1, 'steps': 15400}
2018-05-06 10:40:47.371033: {'loss': 1.0562152, 'avg': 1.41, 'accuracy': 0.5, 'spare': 0.30999999999999994, 'var': -1, 'steps': 15500}
2018-05-06 10:40:47.769453: {'loss': 1.0484903, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 15600}
2018-05-06 10:40:48.152856: {'loss': 1.0473456, 'avg': 1.44, 'accuracy': 0.43, 'spare': 0.31999999999999995, 'var': -1, 'steps': 15700}
2018-05-06 10:40:48.548658: {'loss': 1.0469098, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.30999999999999994, 'var': -1, 'steps': 15800}
2018-05-06 10:40:48.957162: {'loss': 1.0573195, 'avg': 1.41, 'accuracy': 0.5, 'spare': 0.30999999999999994, 'var': -1, 'steps': 15900}
2018-05-06 10:40:49.451541: {'loss': 1.046094, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.30999999999999994, 'var': -1, 'steps': 16000}
2018-05-06 10:40:49.820424: {'loss': 1.0468045, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 16100}
2018-05-06 10:40:50.201802: {'loss': 1.0492008, 'avg': 1.42, 'accuracy': 0.42, 'spare': 0.30999999999999994, 'var': -1, 'steps': 16200}
2018-05-06 10:40:50.596285: {'loss': 1.0448651, 'avg': 1.42, 'accuracy': 0.44, 'spare': 0.30999999999999994, 'var': -1, 'steps': 16300}
2018-05-06 10:40:50.996408: {'loss': 1.043906, 'avg': 1.41, 'accuracy': 0.46, 'spare': 0.29999999999999993, 'var': -1, 'steps': 16400}
2018-05-06 10:40:51.381471: {'loss': 1.0494246, 'avg': 1.42, 'accuracy': 0.48, 'spare': 0.30999999999999994, 'var': -1, 'steps': 16500}
2018-05-06 10:40:51.793966: {'loss': 1.0442531, 'avg': 1.44, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 16600}
2018-05-06 10:40:52.188641: {'loss': 1.0424321, 'avg': 1.44, 'accuracy': 0.47, 'spare': 0.31999999999999995, 'var': -1, 'steps': 16700}
2018-05-06 10:40:52.595971: {'loss': 1.0435512, 'avg': 1.44, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 16800}
2018-05-06 10:40:53.007885: {'loss': 1.0439862, 'avg': 1.42, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 16900}
2018-05-06 10:40:53.400376: {'loss': 1.0468119, 'avg': 1.4000000000000001, 'accuracy': 0.49, 'spare': 0.29999999999999993, 'var': -1, 'steps': 17000}
2018-05-06 10:40:53.941684: {'loss': 1.0389777, 'avg': 1.44, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 17100}
2018-05-06 10:40:54.398699: {'loss': 1.0366695, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 17200}
2018-05-06 10:40:54.876587: {'loss': 1.0364039, 'avg': 1.43, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 17300}
2018-05-06 10:40:55.348179: {'loss': 1.0357981, 'avg': 1.44, 'accuracy': 0.45, 'spare': 0.31999999999999995, 'var': -1, 'steps': 17400}
2018-05-06 10:40:55.821112: {'loss': 1.0363737, 'avg': 1.43, 'accuracy': 0.44, 'spare': 0.31999999999999995, 'var': -1, 'steps': 17500}
2018-05-06 10:40:56.241695: {'loss': 1.0344428, 'avg': 1.44, 'accuracy': 0.45, 'spare': 0.31999999999999995, 'var': -1, 'steps': 17600}
